,accuracy,computationtime,dataset,kfolds,max,mean,method,min,std,trees
0,0.66,1.21599984169,prostate,50,1.0,0.66,bagging,0.0,0.473708771293,2
1,0.7,2.50600004196,prostate,50,1.0,0.7,bagging,0.0,0.458257569496,5
2,0.8,4.66900014877,prostate,50,1.0,0.8,bagging,0.0,0.4,10
3,0.76,9.0759999752,prostate,50,1.0,0.76,bagging,0.0,0.427083130081,20
4,0.4,0.0999999046326,prostate,5,1.0,0.4,bagging,0.0,0.489897948557,2
5,0.4,0.171999931335,prostate,5,1.0,0.4,bagging,0.0,0.489897948557,5
6,0.4,0.324000120163,prostate,5,1.0,0.4,bagging,0.0,0.489897948557,10
7,0.2,0.707000017166,prostate,5,1.0,0.2,bagging,0.0,0.4,20
8,0.5,0.388000011444,prostate,20,1.0,0.5,bagging,0.0,0.5,2
9,0.65,0.818000078201,prostate,20,1.0,0.65,bagging,0.0,0.476969600708,5
10,0.35,1.39999985695,prostate,20,1.0,0.35,bagging,0.0,0.476969600708,10
11,0.6,2.75999999046,prostate,20,1.0,0.6,bagging,0.0,0.489897948557,20
12,0.64,0.563999891281,prostate,50,1.0,0.64,dtree,0.0,0.0,1
13,0.6,0.0310001373291,prostate,5,1.0,0.6,dtree,0.0,0.0,1
14,0.65,0.125,prostate,20,1.0,0.65,dtree,0.0,0.0,1
15,0.62,1.03399991989,prostate,50,1.0,0.62,randomforest,0.0,0.48538644398,2
16,0.72,2.09500002861,prostate,50,1.0,0.72,randomforest,0.0,0.448998886413,5
17,0.76,4.25999999046,prostate,50,1.0,0.76,randomforest,0.0,0.427083130081,10
18,0.78,8.08800005913,prostate,50,1.0,0.78,randomforest,0.0,0.414246303544,20
19,0.6,0.115000009537,prostate,5,1.0,0.6,randomforest,0.0,0.489897948557,2
20,0.6,0.203999996185,prostate,5,1.0,0.6,randomforest,0.0,0.489897948557,5
21,0.6,0.40299987793,prostate,5,1.0,0.6,randomforest,0.0,0.489897948557,10
22,0.6,0.732000112534,prostate,5,1.0,0.6,randomforest,0.0,0.489897948557,20
23,0.45,0.43799996376,prostate,20,1.0,0.45,randomforest,0.0,0.497493718553,2
24,0.65,0.851999998093,prostate,20,1.0,0.65,randomforest,0.0,0.476969600708,5
25,0.75,1.62400007248,prostate,20,1.0,0.75,randomforest,0.0,0.433012701892,10
26,0.65,3.12800002098,prostate,20,1.0,0.65,randomforest,0.0,0.476969600708,20
27,0.8,1.0759999752,prostate,50,1.0,0.8,adaboost,0.0,0.4,2
28,0.68,2.61899995804,prostate,50,1.0,0.68,adaboost,0.0,0.466476151588,5
29,0.7,4.77999997139,prostate,50,1.0,0.7,adaboost,0.0,0.458257569496,10
30,0.68,9.67700004578,prostate,50,1.0,0.68,adaboost,0.0,0.466476151588,20
31,0.6,0.047000169754,prostate,5,1.0,0.6,adaboost,0.0,0.489897948557,2
32,0.2,0.0469999313354,prostate,5,1.0,0.2,adaboost,0.0,0.4,5
33,0.4,0.0620000362396,prostate,5,1.0,0.4,adaboost,0.0,0.489897948557,10
34,0.2,0.0469999313354,prostate,5,1.0,0.2,adaboost,0.0,0.4,20
35,0.55,0.408999919891,prostate,20,1.0,0.55,adaboost,0.0,0.497493718553,2
36,0.4,0.766000032425,prostate,20,1.0,0.4,adaboost,0.0,0.489897948557,5
37,0.4,1.46300005913,prostate,20,1.0,0.4,adaboost,0.0,0.489897948557,10
38,0.45,2.90000009537,prostate,20,1.0,0.45,adaboost,0.0,0.497493718553,20
39,0.76,2.90499997139,colon,50,1.0,0.76,bagging,0.0,0.427083130081,2
40,0.88,6.52300000191,colon,50,1.0,0.88,bagging,0.0,0.324961536185,5
41,0.82,12.8049998283,colon,50,1.0,0.82,bagging,0.0,0.384187454246,10
42,0.92,24.9240000248,colon,50,1.0,0.92,bagging,0.0,0.271293199325,20
43,1.0,0.117000102997,colon,5,1.0,1.0,bagging,1.0,0.0,2
44,1.0,0.18700003624,colon,5,1.0,1.0,bagging,1.0,0.0,5
45,1.0,0.328000068665,colon,5,1.0,1.0,bagging,1.0,0.0,10
46,1.0,0.763000011444,colon,5,1.0,1.0,bagging,1.0,0.0,20
47,1.0,0.391000032425,colon,20,1.0,1.0,bagging,1.0,0.0,2
48,1.0,0.75200009346,colon,20,1.0,1.0,bagging,1.0,0.0,5
49,1.0,1.37599992752,colon,20,1.0,1.0,bagging,1.0,0.0,10
50,1.0,2.69000005722,colon,20,1.0,1.0,bagging,1.0,0.0,20
51,0.8,2.15799999237,colon,50,1.0,0.8,dtree,0.0,0.0,1
52,1.0,0.0309998989105,colon,5,1.0,1.0,dtree,1.0,0.0,1
53,1.0,0.12700009346,colon,20,1.0,1.0,dtree,1.0,0.0,1
54,0.78,1.1819999218,colon,50,1.0,0.78,randomforest,0.0,0.414246303544,2
55,0.9,2.44499993324,colon,50,1.0,0.9,randomforest,0.0,0.3,5
56,0.86,4.70399999619,colon,50,1.0,0.86,randomforest,0.0,0.346987031458,10
57,0.92,8.34399986267,colon,50,1.0,0.92,randomforest,0.0,0.271293199325,20
58,1.0,0.105999946594,colon,5,1.0,1.0,randomforest,1.0,0.0,2
59,1.0,0.203000068665,colon,5,1.0,1.0,randomforest,1.0,0.0,5
60,1.0,0.43799996376,colon,5,1.0,1.0,randomforest,1.0,0.0,10
61,1.0,0.888999938965,colon,5,1.0,1.0,randomforest,1.0,0.0,20
62,1.0,0.460000038147,colon,20,1.0,1.0,randomforest,1.0,0.0,2
63,1.0,0.884999990463,colon,20,1.0,1.0,randomforest,1.0,0.0,5
64,1.0,1.65199995041,colon,20,1.0,1.0,randomforest,1.0,0.0,10
65,1.0,3.09099984169,colon,20,1.0,1.0,randomforest,1.0,0.0,20
66,0.8,2.95199990273,colon,50,1.0,0.8,adaboost,0.0,0.4,2
67,0.8,7.49000000954,colon,50,1.0,0.8,adaboost,0.0,0.4,5
68,0.86,13.8400001526,colon,50,1.0,0.86,adaboost,0.0,0.346987031458,10
69,0.84,27.8299999237,colon,50,1.0,0.84,adaboost,0.0,0.366606055596,20
70,1.0,0.0620000362396,colon,5,1.0,1.0,adaboost,1.0,0.0,2
71,1.0,0.055999994278,colon,5,1.0,1.0,adaboost,1.0,0.0,5
72,1.0,0.0550000667572,colon,5,1.0,1.0,adaboost,1.0,0.0,10
73,1.0,0.0539999008179,colon,5,1.0,1.0,adaboost,1.0,0.0,20
74,1.0,0.256999969482,colon,20,1.0,1.0,adaboost,1.0,0.0,2
75,1.0,0.239000082016,colon,20,1.0,1.0,adaboost,1.0,0.0,5
76,1.0,0.230000019073,colon,20,1.0,1.0,adaboost,1.0,0.0,10
77,1.0,0.236999988556,colon,20,1.0,1.0,adaboost,1.0,0.0,20
78,0.94,4.77799987793,bladder,50,1.0,0.94,bagging,0.0,0.237486841741,2
79,0.98,10.0710000992,bladder,50,1.0,0.98,bagging,0.0,0.14,5
80,0.98,20.2170000076,bladder,50,1.0,0.98,bagging,0.0,0.14,10
81,0.98,38.385999918,bladder,50,1.0,0.98,bagging,0.0,0.14,20
82,1.0,0.171999931335,bladder,5,1.0,1.0,bagging,1.0,0.0,2
83,1.0,0.344000101089,bladder,5,1.0,1.0,bagging,1.0,0.0,5
84,1.0,0.47000002861,bladder,5,1.0,1.0,bagging,1.0,0.0,10
85,1.0,0.827999830246,bladder,5,1.0,1.0,bagging,1.0,0.0,20
86,0.7,1.42800021172,bladder,20,1.0,0.7,bagging,0.0,0.458257569496,2
87,0.95,2.28399991989,bladder,20,1.0,0.95,bagging,0.0,0.217944947177,5
88,0.95,4.11500000954,bladder,20,1.0,0.95,bagging,0.0,0.217944947177,10
89,0.95,7.27300000191,bladder,20,1.0,0.95,bagging,0.0,0.217944947177,20
