,accuracy,computationtime,dataset,kfolds,max,mean,method,min,std,trees
0,0.719565217391,0.0469999313354,prostate,2,0.739130434783,0.719565217391,bagging,0.7,0.0195652173913,2
1,0.812939958592,0.125,prostate,2,0.814285714286,0.812939958592,bagging,0.811594202899,0.00134575569358,5
2,0.841511387164,0.223000049591,prostate,2,0.871428571429,0.841511387164,bagging,0.811594202899,0.029917184265,10
3,0.812836438923,0.433000087738,prostate,2,0.828571428571,0.812836438923,bagging,0.797101449275,0.015734989648,20
4,0.668670983657,0.0939998626709,prostate,3,0.723404255319,0.668670983657,bagging,0.630434782609,0.0397068064538,2
5,0.770120259019,0.235000133514,prostate,3,0.804347826087,0.770120259019,bagging,0.723404255319,0.0342046410039,5
6,0.733734196731,0.411000013351,prostate,3,0.782608695652,0.733734196731,bagging,0.673913043478,0.0450448526929,10
7,0.769811902559,0.893999814987,prostate,3,0.782608695652,0.769811902559,bagging,0.760869565217,0.00928403898694,20
8,0.675862068966,0.204999923706,prostate,5,0.758620689655,0.675862068966,bagging,0.555555555556,0.0766172831511,2
9,0.740485312899,0.410000085831,prostate,5,0.814814814815,0.740485312899,bagging,0.666666666667,0.0554307842737,5
10,0.762196679438,0.799999952316,prostate,5,0.827586206897,0.762196679438,bagging,0.703703703704,0.0497487935883,10
11,0.819412515964,1.60100007057,prostate,5,0.896551724138,0.819412515964,bagging,0.740740740741,0.0622772679486,20
12,0.74099378882,0.0309998989105,prostate,2,0.742857142857,0.74099378882,dtree,0.739130434783,0.0,1
13,0.68362627197,0.0629999637604,prostate,3,0.717391304348,0.68362627197,dtree,0.659574468085,0.0,1
14,0.711877394636,0.125,prostate,5,0.758620689655,0.711877394636,dtree,0.666666666667,0.0,1
15,0.690476190476,0.047000169754,prostate,2,0.714285714286,0.690476190476,randomforest,0.666666666667,0.0238095238095,2
16,0.813043478261,0.0929999351501,prostate,2,0.826086956522,0.813043478261,randomforest,0.8,0.0130434782609,5
17,0.76966873706,0.149999856949,prostate,2,0.785714285714,0.76966873706,randomforest,0.753623188406,0.0160455486542,10
18,0.812939958592,0.297000169754,prostate,2,0.814285714286,0.812939958592,randomforest,0.811594202899,0.00134575569358,20
19,0.712303422757,0.0720000267029,prostate,3,0.760869565217,0.712303422757,randomforest,0.673913043478,0.0362217134281,2
20,0.791242676534,0.140999794006,prostate,3,0.808510638298,0.791242676534,randomforest,0.760869565217,0.021544166568,5
21,0.784304656183,0.234000205994,prostate,3,0.847826086957,0.784304656183,randomforest,0.739130434783,0.0462323931837,10
22,0.812827628739,0.479999780655,prostate,3,0.847826086957,0.812827628739,randomforest,0.760869565217,0.0374707025758,20
23,0.665389527458,0.120000123978,prostate,5,0.827586206897,0.665389527458,randomforest,0.481481481481,0.121756319434,2
24,0.769604086845,0.228999853134,prostate,5,0.814814814815,0.769604086845,randomforest,0.703703703704,0.0377532373358,5
25,0.754789272031,0.424999952316,prostate,5,0.851851851852,0.754789272031,randomforest,0.666666666667,0.0652366907979,10
26,0.754789272031,0.775000095367,prostate,5,0.814814814815,0.754789272031,randomforest,0.666666666667,0.0510855683269,20
27,0.769358178054,0.0420000553131,prostate,2,0.828571428571,0.769358178054,adaboost,0.710144927536,0.0592132505176,2
